timestamp_ms,commit_pct,hugeused_pct,kbactive,kbbuffers,kbcached,kbcommit,kbdirty,kbhugefree,kbhugeused,kbinactive,kbmemfree,kbmemused,kbswpcad,kbswpfree,kbswpused,memused_pct,swpcad_pct,swpused_pct
1432111047000,78.72,0.00,114313760,108404,343264,211074856,1692,0,0,255912,146721616,117208588,0,4194300,0,44.41,0.00,0.00
1432111050000,78.72,0.00,114316620,108404,343864,211075160,2292,0,0,255944,146722580,117207624,0,4194300,0,44.41,0.00,0.00
1432111053000,78.72,0.00,114286816,108404,344248,211077488,2676,0,0,255964,146724432,117205772,0,4194300,0,44.41,0.00,0.00
1432111056000,78.72,0.00,114332544,108404,344572,211072788,3000,0,0,256024,146724948,117205256,0,4194300,0,44.41,0.00,0.00
1432111059000,78.72,0.00,114343308,108404,344884,211072620,3312,0,0,256024,146723776,117206428,0,4194300,0,44.41,0.00,0.00
1432111062000,78.72,0.00,114345452,108404,345192,211073728,3620,0,0,256076,146725196,117205008,0,4194300,0,44.41,0.00,0.00
1432111065000,78.72,0.00,114343720,108404,345504,211073212,3916,0,0,256108,146725132,117205072,0,4194300,0,44.41,0.00,0.00
1432111068000,78.72,0.00,114337964,108404,345812,211073664,4224,0,0,256132,146722808,117207396,0,4194300,0,44.41,0.00,0.00
1432111071000,78.72,0.00,114337680,108404,346124,211073664,4536,0,0,256164,146722916,117207288,0,4194300,0,44.41,0.00,0.00
1432111074000,78.72,0.00,114342568,108404,346440,211067276,4840,0,0,256192,146724636,117205568,0,4194300,0,44.41,0.00,0.00
1432111077000,78.72,0.00,114338768,108404,346756,211067384,5156,0,0,256216,146723060,117207144,0,4194300,0,44.41,0.00,0.00
