timestamp_client_hostname:all-server_hostname:all-server_port:all-server_port:all_ms,client_hostname:all-server_hostname:all-server_port:all-server_port:all,timestamp_client_hostname:perf102-server_hostname:perf104-server_port:21000_ms,client_hostname:perf102-server_hostname:perf104-server_port:21000,timestamp_client_hostname:perf102-server_hostname:perf104-server_port:22000_ms,client_hostname:perf102-server_hostname:perf104-server_port:22000
1459955127646,21481.2719747785,1459955122429,11332.6673326673,1459955127646,10741.2587412587
1459955128647,21496.5384266084,1459955123430,11343.6563436563,1459955128647,10749.2507492508
1459955129648,21467.9905509076,1459955124431,10860.1398601399,1459955129648,10734.2657342657
1459955130649,21451.293996004,1459955125432,10721.2787212787,1459955130649,10725.2747252747
1459955131650,21461.1050388173,1459955126433,10733.2667332667,1459955131650,10727.2727272727
1459955132651,21479.2969268494,1459955127434,10737.2627372627,1459955132651,10744.2557442557
1459955133652,21449.0500789211,1459955128435,10750.2497502498,1459955133652,10725.2747252747
1459955134653,21468.7489044422,1459955129436,10736.2637362637,1459955134653,10735.2647352647
1459955135654,21463.1163042751,1459955130437,10724.2757242757,1459955135654,10731.2687312687
1459955136655,21439.9875848427,1459955131437,10732.5,1459955136655,10720.2797202797
1459955137656,21444.90674161,1459955132438,10738.7612387612,1459955137656,10721.2787212787
1459955138657,21461.1113162562,1459955133439,10721.2787212787,1459955138657,10729.2707292707
1459955139658,21467.2430466636,1459955134439,10733,1459955139658,10735.2647352647
1459955140659,21475.9516208068,1459955135440,10735.2647352647,1459955140659,10737.2627372627
1459955141660,21483.1582004409,1459955136441,10719.2807192807,1459955141660,10742.2577422577
1459955142661,21485.3009128733,1459955137442,10721.2787212787,1459955142661,10742.2577422577
1459955143662,21482.875765593,1459955138443,10732.2677322677,1459955143662,10741.2587412587
1459955144663,21478.9486238038,1459955139444,10730.2697302697,1459955144663,10739.2607392607
1459955145664,21483.7300561576,1459955140445,10738.2617382617,1459955145664,10742.2577422577
1459955146665,21484.0883392332,1459955141446,10740.2597402597,1459955146665,10742.2577422577
1459955147666,21476.5304625445,1459955142447,10743.2567432567,1459955147666,10739.2607392607
1459955148667,21453.1811844499,1459955143448,10742.2577422577,1459955148667,10723.2767232767
1459955149669,21473.6459669551,1459955144449,10739.2607392607,1459955149669,10732.5349301397
1459955150670,21455.8648145062,1459955145450,10741.2587412587,1459955150670,10738.2617382617
1459955151671,21428.5464784965,1459955146451,10742.2577422577,1459955151671,10748.2517482517
1459955152672,21513.7749363524,1459955147452,10740.2597402597,1459955152672,10759.2407592408
1459955153673,21511.4815254675,1459955148453,10726.2737262737,1459955153673,10755.2447552448
1459955154674,21490.8647795761,1459955149454,10743.2567432567,1459955154674,10746.2537462537
1459955155675,21476.7380471676,1459955150455,10733.2667332667,1459955155675,10734.2657342657
1459955156676,21483.9456248048,1459955151456,10660.3396603397,1459955156676,10740.2597402597
1459955157677,21493.3657750841,1459955152457,10753.2467532468,1459955157677,10747.2527472527
1459955158678,21490.4286522668,1459955153458,10759.2407592408,1459955158678,10745.2547452547
1459955159679,21458.9002406185,1459955154459,10745.2547452547,1459955159679,10727.7722277722
1459955160680,21469.943451316,1459955155460,10742.2577422577,1459955160680,10737.7622377622
1459955161681,21456.9733747203,1459955156461,10743.2567432567,1459955161681,10732.2677322677
1459955162682,21453.8288883943,1459955157462,10745.2547452547,1459955162682,10727.2727272727
1459955163683,21464.1013332322,1459955158463,10749.2507492508,1459955163683,10730.2697302697
1459955164684,21485.6591959489,1459955159464,10730.2697302697,1459955164684,10743.2567432567
1459955165685,21478.6661889559,1459955160465,10734.2657342657,1459955165685,10740.2597402597
1459955166686,21475.3039168624,1459955161467,10724.5508982036,1459955166686,10737.2627372627
1459955167687,21493.6512039409,1459955162468,10725.2747252747,1459955167687,10746.2537462537
1459955168688,21485.8039063833,1459955163469,10731.2687312687,1459955168688,10743.2567432567
1459955169689,21474.0983292432,1459955164470,10743.2567432567,1459955169689,10738.2617382617
1459955170690,21462.3308759173,1459955165471,10739.2607392607,1459955170690,10731.2687312687
1459955171691,21440.6971649729,1459955166472,10735.2647352647,1459955171691,10719.2807192807
1459955172692,21462.1791794619,1459955167473,10748.2517482517,1459955172692,10732.2677322677
1459955173693,21463.0404560475,1459955168474,10744.2557442557,1459955173693,10732.2677322677
1459955174694,21446.5534465535,1459955169475,10736.2637362637,1459955174694,10721.2787212787
1459955175695,10731.2687312687,1459955170476,10734.2657342657,1459955175695,10731.2687312687
1459955176696,10733.2667332667,1459955171477,10719.2807192807,1459955176696,10733.2667332667
1459955177697,10731.2687312687,1459955172478,10729.2707292707,1459955177697,10731.2687312687
1459955178698,10862.1378621379,1459955173479,10732.2677322677,1459955178698,10862.1378621379
,,1459955174480,10725.2747252747,1459955179699,11352.6473526474
,,1459955175481,10725.2747252747,1459955180700,11349.6503496504
