timestamp_ms,commit_pct,hugeused_pct,kbactive,kbbuffers,kbcached,kbcommit,kbdirty,kbhugefree,kbhugeused,kbinactive,kbmemfree,kbmemused,kbswpcad,kbswpfree,kbswpused,memused_pct,swpcad_pct,swpused_pct
1424886532000,67.68,0.00,3299468,118764,3441684,10661016,2116,0,0,3563648,101932,7768732,42156,7787872,92828,98.70,45.41,1.18
1424886535000,68.13,0.00,3271292,106660,3426184,10732048,132,0,0,3564664,161776,7708888,53616,7771436,109264,97.94,49.07,1.39
1424886538000,69.98,0.00,3272544,106672,3438376,11022988,536,0,0,3576028,152244,7718420,53616,7771436,109264,98.07,49.07,1.39
1424886541000,69.98,0.00,3273924,106680,3438332,11022988,740,0,0,3573232,157960,7712704,50336,7771436,109264,97.99,46.07,1.39
1424886544000,69.77,0.00,3276952,106688,3439560,10990388,1476,0,0,3572580,153416,7717248,50336,7771436,109264,98.05,46.07,1.39
1424886547000,69.77,0.00,3277880,106696,3439668,10990388,1612,0,0,3572956,152424,7718240,50336,7771436,109264,98.06,46.07,1.39
1424886550000,68.72,0.00,3278060,106704,3438060,10823720,1244,0,0,3571188,153752,7716912,50336,7771436,109264,98.05,46.07,1.39
1424886553000,67.59,0.00,3278280,106720,3440424,10646364,700,0,0,3573208,152888,7717776,50336,7771436,109264,98.06,46.07,1.39
1424886556000,67.59,0.00,3278272,106728,3438908,10646364,744,0,0,3571628,153192,7717472,50336,7771436,109264,98.05,46.07,1.39
1424886559000,67.69,0.00,3284496,106796,3465220,10661724,388,0,0,3592156,126396,7744268,50336,7771436,109264,98.39,46.07,1.39
1424886562000,67.63,0.00,3284840,106804,3456808,10652856,1684,0,0,3583496,133732,7736932,50336,7771436,109264,98.30,46.07,1.39
1424886565000,67.68,0.00,3283568,106812,3473812,10660424,1228,0,0,3600236,119264,7751400,50336,7771436,109264,98.48,46.07,1.39
1424886568000,66.26,0.00,3262108,106928,3461916,10437168,384,0,0,3579720,158572,7712092,50336,7771436,109264,97.99,46.07,1.39
1424886571000,65.17,0.00,3198828,106948,3454288,10264756,292,0,0,3569776,234756,7635908,50336,7771436,109264,97.02,46.07,1.39
1424886574000,65.10,0.00,3198940,106956,3443848,10254796,936,0,0,3559020,245768,7624896,50336,7771436,109264,96.88,46.07,1.39
1424886577000,65.19,0.00,3199792,106976,3449064,10269052,912,0,0,3563308,239648,7631016,50336,7771436,109264,96.96,46.07,1.39
1424886580000,65.16,0.00,3200828,107392,3450052,10263640,180,0,0,3563468,239104,7631560,50324,7771448,109252,96.96,46.06,1.39
1424886583000,65.08,0.00,3202476,107416,3451828,10250616,456,0,0,3564132,236096,7634568,50324,7771448,109252,97.00,46.06,1.39
1424886586000,65.08,0.00,3202872,107424,3445368,10250456,636,0,0,3558168,241080,7629584,50324,7771448,109252,96.94,46.06,1.39
1424886589000,65.09,0.00,3203056,107448,3447524,10253136,224,0,0,3559888,240120,7630544,50324,7771448,109252,96.95,46.06,1.39
1424886592000,65.06,0.00,3203256,107456,3445808,10248624,340,0,0,3558216,241468,7629196,50324,7771448,109252,96.93,46.06,1.39
